,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
103,000756.SZ,20140430,3.779,4.0819,4.4064,3.6203,4.0675,-0.2885,-7.0928,60789752.0,346825119.0
104,000756.SZ,20140331,4.0675,4.6949,4.8824,3.9665,4.6949,-0.6273999999999997,-13.3634,86628437.0,533451565.0
105,000756.SZ,20140228,4.6949,3.5554,4.8031,3.5554,3.5987,1.0961999999999996,30.461,126629538.0,742416860.0
106,000756.SZ,20140130,3.5987,3.5049,3.678,3.3246,3.4977,0.10099999999999998,2.8876,48118718.0,236776063.0
107,000756.SZ,20131231,3.4977,3.4256,3.7357,3.1732,3.4689,0.028799999999999937,0.8302,66830768.0,326603094.0
108,000756.SZ,20131129,3.4689,3.2814,3.5049,3.1371,3.2814,0.1875,5.714,29529289.0,136348423.0
109,000756.SZ,20131031,3.2814,3.4112,3.7141,3.1444,3.404,-0.12259999999999982,-3.6016,40720064.0,197674293.0
110,000756.SZ,20130930,3.404,3.2958,3.5987,3.2165,3.2814,0.12259999999999982,3.7362,46455489.0,217073648.0
111,000756.SZ,20130830,3.2814,2.9136,3.5915,2.9064,2.9352,0.34620000000000006,11.7948,72561776.0,324499829.0
112,000756.SZ,20130731,2.9352,2.8126,3.0434,2.7405,2.8198,0.11540000000000017,4.0925,36086864.0,146582990.0
113,000756.SZ,20130628,2.8198,3.6708,3.6997,2.6323,3.6636,-0.8438000000000003,-23.032,22700980.0,102267237.0
114,000756.SZ,20130531,3.6562,3.3251,3.7209,3.2099,3.3179,0.33830000000000027,10.1962,46210313.0,224336973.0
115,000756.SZ,20130426,3.3179,3.8289,4.2104,3.3179,3.8289,-0.5110000000000001,-13.3459,82455139.0,433255889.0
116,000756.SZ,20130329,3.8289,3.4547,4.0232,3.3467,3.4475,0.3814000000000002,11.0631,89554193.0,456702743.0
117,000756.SZ,20130228,3.4475,3.3395,3.541,3.2459,3.3323,0.11519999999999975,3.4571,38981785.0,185302105.0
118,000756.SZ,20130131,3.3323,3.1884,3.4403,3.0084,3.1812,0.1511,4.7498,48642319.0,223934124.0
0,603538.SH,20230131,27.03,25.72,27.47,25.4,25.75,1.2800000000000011,4.9709,103511618.0,2731428088.0
1,603538.SH,20221230,25.75,28.46,31.98,24.8,28.01,-2.2600000000000016,-8.0685,346435856.0,9811537991.0
2,603538.SH,20221130,28.01,24.79,34.06,24.65,24.73,3.280000000000001,13.2632,393155307.0,11530182051.0
3,603538.SH,20221031,24.73,23.77,26.19,21.75,23.76,0.9699999999999989,4.0825,95815263.0,2356627316.0
4,603538.SH,20220930,23.76,26.31,27.02,22.69,26.4,-2.639999999999997,-10.0,72734768.0,1810252029.0
5,603538.SH,20220831,26.4,28.22,29.1,26.0,28.06,-1.6600000000000001,-5.9159,116977139.0,3213414807.0
6,603538.SH,20220729,28.06,32.0,34.32,28.0,31.85,-3.7900000000000027,-11.8995,213239459.0,6680569222.0
7,603538.SH,20220630,31.85,39.8,43.39,28.61,40.16,-8.309999999999995,-20.6922,251689571.0,8164283488.0
